LAT,LON,COUNTY,2001_TotB,2006_TotB,2011_TotB,2016_TotB,2001_PulpB,2006_PulpB,2011_PulpB,2016_PulpB,2001_PalletB,2006_PalletB,2011_PalletB,2016_PalletB,2001_SawB,2006_SawB,2011_SawB,2016_SawB,2001_LDB,2006_LDB,2011_LDB,2016_LDB,2001_TotH,2006_TotH,2011_TotH,2016_TotH,2001_PulpH,2006_PulpH,2011_PulpH,2016_PulpH,2001_PalletH,2006_PalletH,2011_PalletH,2016_PalletH,2001_SawH,2006_SawH,2011_SawH,2016_SawH,2001_LDH,2006_LDH,2011_LDH,2016_LDH
43.950044,-70.179722,Androscoggin,0,123.3,134,112.5,0,36.5,37.3,26.2,0,5.2,5.3,3.4,0,23.83415657,26.27135571,17.67774036,0,63,70.4,68.6,0,NA,29.62995299,18.2244393,0,NA,11.02923654,8.30060343,0,0,2.4,3.7,0,NA,2.445317315,4.267154955,0,NA,16.15539913,5.656680917
43.98217,-70.0954,Androscoggin,192.9,199.1,191.8,0,67.6,67.6,59.9,0,3.2,4.3,4.5,0,38.75614372,38.07386778,41.8257865,0,86.5,93.4,90.1,0,0,0,31.31906608,NA,0,0,13.62620984,NA,0,0,1.2,0,0,0,3.207465459,NA,0,0,14.48539078,NA
43.9873,-70.20527,Androscoggin,0,178.8,161.1,174.1,0,43.5,44.2,45.5,0,5.7,6,6.1,0,21.14901855,21.79361062,23.98567927,0,114.1,95.1,104.6,0,NA,139.6896149,0,0,NA,17.26595038,0,0,0,4,0,0,NA,12.80426077,0,0,NA,109.6194037,0
43.9963,-70.18251,Androscoggin,64.1,99.9,121.7,81.7,7.6,10,15.9,20.1,1.2,1.6,2.1,2.1,2.793694575,5.080886178,7.350067577,11.59064834,53.7,84.8,98.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.00838,-70.07511,Androscoggin,253.4,258.5,314.1,336.9,103.1,100.2,117.3,122,7,6.7,6.4,6.2,48.36718705,65.20302443,79.35623707,92.81575052,102,93.2,117.5,122.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.01651,-70.21773,Androscoggin,119.5,130,149.4,166.5,38.9,45.8,53.2,59.8,1.9,2.2,2.6,2.7,23.67442585,29.55706991,36.58667063,43.18879004,56.9,54.7,59.6,63.5,0,23.64015745,0,2.736276748,0,3.097456355,0,0.76225093,0,0,0,0,0,0,0,0,0,20.54270109,0,1.974025818
44.026361,-70.07267,Androscoggin,0,306.6,307.4,330,0,129.1,132.2,144.4,0,7.5,6.3,6.4,0,110.0200933,114.5068271,127.5068438,0,67.6,60.7,58.1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
44.02649,-70.3345,Androscoggin,0,69.9,80.8,106.6,0,5.8,7.4,10.5,0,0.6,0.8,1.2,0,0.656426313,1.442383233,2.231113448,0,63.5,72,93.9,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
44.03289,-70.44644,Androscoggin,0,10.7,20.7,33,0,1.5,4.6,7,0,0,0,0.9,0,0,0,0.912111795,0,9.2,16.1,25.1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
44.03487,-70.4058,Androscoggin,134,156.3,166.2,207.8,34.6,40.7,46,36,0.9,1.7,3.4,7.8,19.80068351,25.3814148,31.2140802,21.5833635,79.5,90.2,88.9,150.2,0,0,0,51.7170841,0,0,0,26.47870507,0,0,0,0,0,0,0,22.32071655,0,0,0,2.917662471
